time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-06T00:46:54.680Z,35.6755,-117.5053333,4.1,2.14,ml,29,62,0.09551,0.17,ci,ci38456591,2019-07-06T00:50:29.595Z,"14km SW of Searles Valley, CA",earthquake,0.23,0.78,0.16,25,automatic,ci,ci
2019-07-06T00:45:08.602Z,61.3106,-150.1009,44.7,1.6,ml,,,,0.65,ak,ak0198l9rk8f,2019-07-06T00:50:42.435Z,"14km NW of Anchorage, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-07-06T00:41:16.190Z,35.6313333,-117.5558333,9.46,1.98,ml,24,82,0.08845,0.16,ci,ci38456567,2019-07-06T00:45:49.093Z,"11km E of Ridgecrest, CA",earthquake,0.25,0.76,0.196,25,automatic,ci,ci
2019-07-06T00:38:53.600Z,35.7761667,-117.5651667,6.85,1.67,ml,23,82,0.04744,0.12,ci,ci38456543,2019-07-06T00:42:31.533Z,"15km W of Searles Valley, CA",earthquake,0.22,0.45,0.17,27,automatic,ci,ci
2019-07-06T00:36:13.120Z,36.7553329,-121.1493301,7.42,1.57,md,9,213,0.1014,0.28,nc,nc73208346,2019-07-06T00:44:02.843Z,"16km ESE of Tres Pinos, CA",earthquake,1.79,6.72,0.29,7,automatic,nc,nc
2019-07-06T00:35:39.320Z,35.7466667,-117.543,5.94,1.63,ml,27,77,0.08195,0.13,ci,ci38456511,2019-07-06T00:46:14.120Z,"13km W of Searles Valley, CA",earthquake,0.21,0.81,0.14,25,automatic,ci,ci
2019-07-06T00:20:10.300Z,35.8885,-117.9086667,1.93,2.75,ml,18,112,0.04625,0.37,ci,ci38456407,2019-07-06T00:24:16.155Z,"5km S of Little Lake, CA",earthquake,0.87,1.29,0.142,25,automatic,ci,ci
2019-07-06T00:20:06.400Z,35.732,-117.5996667,0.35,2.21,ml,31,55,0.08358,0.36,ci,ci38456399,2019-07-06T00:50:57.195Z,"14km NNE of Ridgecrest, CA",earthquake,0.5,31.61,0.432,9,automatic,ci,ci
2019-07-06T00:18:57.740Z,35.7708333,-117.6183333,2.46,2.68,ml,31,52,0.0479,0.17,ci,ci38456391,2019-07-06T00:29:54.310Z,"18km NNE of Ridgecrest, CA",earthquake,0.22,0.4,0.147,25,automatic,ci,ci
2019-07-06T00:18:26.870Z,35.7703333,-117.5935,2.26,1.76,ml,23,126,0.04543,0.16,ci,ci38456383,2019-07-06T00:22:10.628Z,"17km W of Searles Valley, CA",earthquake,0.25,0.36,0.161,27,automatic,ci,ci
