time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-08T22:02:25.680Z,35.6790009,-117.5526657,4.94,2.07,ml,27,59,0.1181,0.12,ci,ci38492151,2019-07-08T22:04:47.394Z,"13km ENE of Ridgecrest, CA",earthquake,0.25,0.57,0.232,28,automatic,ci,ci
2019-07-08T22:02:15.090Z,35.8475,-117.6121667,10.7,1.68,ml,15,141,0.03386,0.24,ci,ci38492143,2019-07-08T22:05:56.401Z,"21km WNW of Searles Valley, CA",earthquake,0.46,0.77,0.218,20,automatic,ci,ci
2019-07-08T21:59:58.650Z,35.798,-117.6056667,7.22,2.09,ml,19,106,0.0189,0.19,ci,ci38492119,2019-07-08T22:03:45.943Z,"18km W of Searles Valley, CA",earthquake,0.35,0.66,0.18,26,automatic,ci,ci
2019-07-08T21:59:45.700Z,35.6655,-117.4778333,1.46,1.57,ml,18,110,0.07985,0.36,ci,ci38492111,2019-07-08T22:03:42.854Z,"13km SSW of Searles Valley, CA",earthquake,0.82,1.2,0.288,20,automatic,ci,ci
2019-07-08T21:58:55.320Z,35.7975006,-117.6093369,6.33,1.52,ml,25,69,0.02058,0.18,ci,ci38492103,2019-07-08T22:02:37.841Z,"19km W of Searles Valley, CA",earthquake,0.36,0.72,0.169,13,automatic,ci,ci
2019-07-08T21:57:24.660Z,35.5693333,-117.4388333,2.17,1.76,ml,21,72,0.02562,0.19,ci,ci38492095,2019-07-08T22:01:17.750Z,"22km ESE of Ridgecrest, CA",earthquake,0.31,0.34,0.129,26,automatic,ci,ci
2019-07-08T21:56:34.430Z,34.0878333,-117.2843333,9.94,1.79,ml,70,55,0.02746,0.22,ci,ci38492079,2019-07-08T22:00:27.744Z,"3km ENE of Colton, CA",earthquake,0.23,0.47,0.124,24,automatic,ci,ci
2019-07-08T21:52:05.140Z,35.7086667,-117.5183333,9.34,2.11,ml,30,78,0.1247,0.19,ci,ci38492047,2019-07-08T22:03:01.000Z,"12km WSW of Searles Valley, CA",earthquake,0.28,0.85,0.147,26,automatic,ci,ci
2019-07-08T21:50:25.440Z,35.7728333,-117.596,4.75,1.59,ml,17,127,0.04283,0.14,ci,ci38492031,2019-07-08T21:54:21.442Z,"17km W of Searles Valley, CA",earthquake,0.31,0.46,0.231,19,automatic,ci,ci
2019-07-08T21:49:19.520Z,35.683,-117.4975,1.26,2.36,ml,18,105,0.1005,0.18,ci,ci38492023,2019-07-08T21:53:01.430Z,"13km SW of Searles Valley, CA",earthquake,0.35,0.54,0.061,2,automatic,ci,ci
2019-07-08T21:48:53.380Z,35.646,-117.4496667,2.73,2.89,ml,32,67,0.06024,0.13,ci,ci38492015,2019-07-08T21:59:32.820Z,"14km SSW of Searles Valley, CA",earthquake,0.21,0.44,0.19,25,automatic,ci,ci
2019-07-08T21:46:53.080Z,35.8806667,-117.6933333,2.26,2.28,ml,22,76,0.07561,0.14,ci,ci38491999,2019-07-08T21:50:50.872Z,"20km ESE of Little Lake, CA",earthquake,0.22,0.32,0.142,23,automatic,ci,ci
2019-07-08T21:46:43.900Z,35.8868333,-117.7185,1.57,1.65,ml,21,63,0.08229,0.17,ci,ci38491991,2019-07-08T21:50:30.869Z,"18km ESE of Little Lake, CA",earthquake,0.29,0.46,0.218,19,automatic,ci,ci
2019-07-08T21:44:05.220Z,66.3041,-157.2589,2.8,2.3,ml,,,,0.76,ak,ak0198oxc4xu,2019-07-08T21:51:28.864Z,"69km SSW of Kobuk, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-07-08T21:43:51.760Z,36.0236667,-117.8441667,2.32,1.66,ml,18,108,0.04071,0.14,ci,ci38491967,2019-07-08T21:47:40.366Z,"10km ESE of Coso Junction, CA",earthquake,0.25,0.26,0.191,12,automatic,ci,ci
2019-07-08T21:43:14.710Z,35.6581667,-117.5268333,9.69,2.27,ml,28,68,0.08881,0.26,ci,ci38491959,2019-07-08T21:54:24.810Z,"14km ENE of Ridgecrest, CA",earthquake,0.41,1.05,0.183,25,automatic,ci,ci
2019-07-08T21:42:35.100Z,35.6831667,-117.4706667,7.56,1.88,ml,27,89,0.0967,0.18,ci,ci38491943,2019-07-08T21:46:30.357Z,"11km SSW of Searles Valley, CA",earthquake,0.37,1.45,0.151,27,automatic,ci,ci
2019-07-08T21:36:22.650Z,32.8605,-116.21,8.63,2.16,ml,46,70,0.1171,0.23,ci,ci38491911,2019-07-08T21:47:16.960Z,"25km NW of Ocotillo, CA",earthquake,0.29,1.21,0.135,27,automatic,ci,ci
